# Start logging at 2023-08-03 08:55:58 CDT
[08:55:58] connected
[09:05:58] Redbeardy_McGee is live!
[09:05:58] 22 raiders from justzul have joined!
[09:06:00]  bunhara: go live
[15:27:12]  leprochauninja: why echo form defend minus over defend plus
[15:27:27]  its_goddy: @apneaa uwu
[15:27:33]  its_goddy: i got shafted :)
[15:29:08]  apneaa: gg
[15:29:10]  leprochauninja: trusque has 6 lives
[15:30:41]  nerdbusta1: How do we see the troosk view?
[15:31:13]  leprochauninja: troosking
[15:39:03]  bahbkarns: any go live-ers?
[15:39:08]  its_goddy: thanks guys, this was so much fun
[15:39:11]  nerdbusta1: go live
[15:39:45]  bahbkarns: goal i've
[15:40:29]  truesque: gg
[15:41:33]  redbeardy_mcgee: !shoutout foxdrop
[15:41:34]  nightbot: Go check out foxdrop at twitch.tv/foxdrop
[15:41:58]  bunhara: money HAS gone live
[15:42:04]  bunhara: money has gone woke
[15:42:06]  truesque: money has never not gone live
[15:42:07]  apneaa: g
[15:43:58] Redbeardy_McGee is now offline.
