# Start logging at 2023-07-19 10:33:46 CDT
[10:33:46] disconnected
[10:33:46] Wednesday, July 19, 2023
[10:33:51] Message history service recovering, there may be gaps in the message history.
# Start logging at 2023-07-19 14:16:51 CDT
[14:16:51] connected
[15:52:21] Redbeardy_McGee is live!
[15:52:57]  captainfalcum: what the heck
[20:10:58]  glint0: nib is less important than nunchaku for setup
[20:11:04]  paparatto18: pyr
[20:14:22]  apneaa: !sr https://youtu.be/cYQZopAShMI?list=PLjcCUrVpLOAWMFBd2esYn27ccdf6HD0n1
[20:14:22]  nightbot: @Apneaa -> "НҰРҒИСА ТІЛЕНДИЕВ- Жекпе-жек" by Dombyra live  has been added to the queue in position #3
[20:17:49]  apneaa: !sr https://youtu.be/KVh-bUEU56c?list=PLjcCUrVpLOAXQtbSL1BqCfMy8ZKaWDH_F
[20:17:49]  nightbot: @Apneaa -> "Эзенги - Төрепчиниң эзеңгизи. Режиссёр Влади Саая" by Влади Саая has been added to the queue in position #3
[20:24:25]  apneaa: catJAM cheg0pls
[20:24:34]  apneaa: cheg0Pls cheg0Pls cheg0Pls cheg0Pls
[20:25:49]  apneaa: moneyJAM moneyJAM
[20:29:01]  leprochauninja: but the brutality clay combo
[20:34:55]  kakistocraces: cheg0pls
[20:36:00]  firstdane: gg B)
[20:36:07]  kakistocraces: gg
[20:39:51] Redbeardy_McGee is now offline.
